Amazon;Apple;Year
6655.04;71508;2025
6569.92;71989.77;2025
6637.96;72526.08;2025
6668.2;72192.78;2025
6591.76;69647.58;2025
6575.8;67502.34;2025
6591.76;67768.98;2025
6580.28;67820.49;2025
6459.88;67459.92;2025
6326.32;69683.94;2025
6178.48;69162.78;2025
6253.8;72074.61;2025
6097.28;70683.84;2025
6116.88;71023.2;2025
6130.32;71765.55;2025
6219.64;73538.1;2025
6219.08;73389.63;2025
6373.08;74235;2025
6277.32;73738.08;2025
6166.16;73886.55;2024
6142.92;75877.26;2024
6196.4;76416.6;2024
6265;77443.77;2024
6357.4;78483.06;2024
6413.4;78234.6;2024
6301.68;77346.81;2024
6297.76;77110.47;2024
6252.12;75686.37;2024
6174.56;75159.15;2024
6472.2;76804.44;2024
6522.04;76065.12;2024
6368.88;75183.39;2024
6411.16;75131.88;2024
6447.28;74686.47;2024
6301.12;75074.31;2024
6330.52;74765.25;2024
6356.84;73580.52;2024
6175.4;73641.12;2024
6108.48;73632.03;2024
5976.32;73522.95;2024
5899.88;72595.77;2024
5820.92;71910.99;2024
5760.72;71183.79;2024
5820.08;71223.18;2024
5640.6;70559.61;2024
5519.36;69650.61;2024
5554.64;69241.56;2024
5680.64;69387;2024
5729.08;69168.84;2024
5647.6;69090.06;2024
5673.08;68175;2024
5921.44;69150.66;2024
5994.8;68211.36;2024
5849.48;67941.69;2024
5791.52;67941.69;2024
5829.04;67941.69;2024
5881.4;68768.88;2024
5798.52;68850.69;2024
5586;67411.44;2024
5481.84;67629.6;2024
5542.04;67196.31;2024
5219.2;67469.01;2024
5396.44;68374.98;2024
5343.24;69644.55;2024
5274.92;70723.23;2024
5259.24;70641.42;2024
5218.64;70041.48;2024
5171.88;69786.96;2024
5311.6;69844.53;2024
5293.96;71386.8;2024
5291.72;71574.66;2024
5250.84;71126.22;2024
5232.92;70262.67;2024
5255.32;70153.59;2024
5251.12;70777.77;2024
5286.96;70008.15;2024
5226.2;68871.9;2024
5184.76;69323.37;2024
5116.16;69474.87;2024
5062.4;68332.56;2024
5222.28;67099.35;2024
5094.88;68644.65;2024
5173.28;68302.26;2024
5183.64;68638.59;2024
5217.24;68465.88;2024
5263.16;70520.22;2024
5352.48;68944.62;2024
5390.84;68862.81;2024
5430.88;68514.36;2024
5428.64;68817.36;2024
5364.8;68544.66;2024
5316.36;69068.85;2024
5220.04;69271.86;2024
5232.64;66796.35;2024
5176.92;65614.65;2024
5221.72;65472.24;2024
5236;67344.78;2024
5166.56;67426.59;2024
5027.4;67393.26;2024
4911.2;66620.61;2024
4798.92;66863.01;2024
4980.92;66835.74;2024
4853.24;67308.42;2024
4935;66844.83;2024
4998;67426.59;2024
4819.36;69311.25;2024
4782.4;69550.62;2024
4847.36;68550.72;2024
4914;69017.34;2024
4957.12;68759.79;2024
4931.64;68656.77;2024
5043.08;67956.84;2024
5008.64;68523.45;2024
4990.16;68556.78;2024
4957.68;68368.92;2024
4972.52;68417.4;2024
4762.8;68014.41;2024
4766.44;67108.44;2024
4670.4;66972.09;2024
4674.32;66972.09;2024
4642.4;65838.87;2024
4557.56;65372.25;2024
4534.04;64487.49;2024
4508.56;63433.05;2024
4701.2;62648.28;2024
5153.96;63266.4;2024
5235.44;66466.08;2024
5087.88;66014.61;2024
5129.6;67138.74;2024
5110;66147.93;2024
5035.8;65978.25;2024
5063.24;65893.41;2024
5219.48;65751;2024
5111.4;66069.15;2024
5127.64;68023.5;2024
5145;67708.38;2024
5262.04;67811.4;2024
5404.56;67772.01;2024
5396.16;69193.08;2024
5445.72;70989.87;2024
5461.4;70862.61;2024
5594.12;69696.06;2024
5581.52;68799.18;2024
5580.12;70432.35;2024
5600;69132.48;2024
5532.52;68874.93;2024
5600;68426.49;2024
5521.6;66978.15;2024
5411;66590.31;2024
5539.8;65526.78;2024
5421.08;63675.45;2024
5217.52;64726.86;2024
5195.96;64469.31;2024
5294.24;63205.8;2024
5210.8;62924.01;2024
5118.68;62727.06;2024
5153.68;63390.63;2024
5142.48;64784.43;2024
5147.24;65502.54;2024
5232.92;64239.03;2024
5242.44;64769.28;2024
5237.68;64414.77;2024
5160.4;62624.04;2024
5180;58382.04;2024
5075.84;59524.35;2024
5021.52;58794.12;2024
4993.52;59215.29;2024
4940.32;58754.73;2024
5020.96;58657.77;2024
5096.56;58121.46;2024
5100.2;57830.58;2024
5061;57527.58;2024
5069.4;57436.68;2024
5127.64;57433.65;2024
5128.2;56497.38;2024
5139.12;57712.41;2024
5171.6;58151.76;2024
5141.64;57754.83;2024
5207.72;57400.32;2024
5237.96;57391.23;2024
5223.96;57354.87;2024
5249.44;56664.03;2024
5306;56315.58;2024
5264;56315.58;2024
5285.28;55339.92;2024
5283.6;55721.7;2024
5213.88;55170.24;2024
5172.16;55067.22;2024
5012;54858.15;2024
4900;55364.16;2024
5066.88;52240.23;2024
5029.36;51113.07;2024
4862.76;51425.16;2024
4944.52;52379.61;2024
5027.12;51113.07;2024
4962.44;51291.84;2024
4889.64;51028.23;2024
5018.16;50388.9;2024
5075.84;50067.72;2024
5132.96;49816.23;2024
5141.36;50431.32;2024
5211.64;50719.17;2024
5293.4;51137.31;2024
5206.6;52137.21;2024
5198.76;53300.73;2024
5185.32;52846.23;2024
5181.96;50655.54;2024
5040;51225.18;2024
5107.48;50855.52;2024
5059.32;51197.91;2024
5067.16;50967.63;2024
5050.64;51219.12;2024
5035.24;50973.69;2024
4992.4;51334.26;2024
5031.88;51770.58;2024
5008.36;52325.07;2024
4988.2;51237.3;2024
4988.2;51579.69;2024
4925.2;52012.98;2024
4885.44;51737.25;2024
4883.76;53943.09;2024
5005;53161.35;2024
4943.68;52446.27;2024
4910.92;52116;2024
4814.88;52231.14;2024
4909.8;51664.53;2024
4950.96;52300.83;2024
4858.28;52155.39;2024
4875.36;51543.33;2024
4972.24;51022.17;2024
4990.16;51058.53;2024
4949.28;51361.53;2024
4848.48;52864.41;2024
4859.12;54240.03;2024
4892.44;54570.3;2024
4899.72;54773.31;2024
4888.24;55136.91;2024
4720.52;54694.53;2024
4678.24;55103.58;2024
4746.28;55664.13;2024
4754.4;55042.98;2024
4787.44;54815.73;2024
4721.92;55039.95;2024
4825.52;55509.6;2024
4884.6;55597.47;2024
4755.52;55864.11;2024
4774.84;56503.44;2024
4736.2;56503.44;2024
4768.68;57015.51;2024
4810.68;56782.2;2024
4459.84;57112.47;2024
4345.6;57079.14;2024
4452;56591.31;2024
4515.28;56036.82;2024
4455.36;56342.85;2024
4417;55600.5;2024
4392.36;56697.36;2024
4368.56;57812.4;2024
4333.84;58018.44;2024
4349.52;58545.66;2024
4298;58645.65;2024
4247.88;58851.69;2024
4288.48;58460.82;2024
4329.36;57760.89;2024
4345.04;56876.13;2024
4304.44;55082.37;2024
4238.36;55367.19;2024
4174.8;56058.03;2024
4066.72;55961.07;2024
4047.96;56139.84;2024
4157.16;55824.72;2024
4198.04;55951.98;2023
4254.32;54630.9;2023
4294.64;54849.06;2023
4293.52;55555.05;2023
4295.48;55973.19;2023
4295.76;58051.77;2023
4307.52;58369.92;2023
4259.36;58239.63;2023
4306.12;58209.33;2023
4313.96;58375.98;2023
4199.16;58700.19;2023
4127.76;58745.64;2023
4167.52;59381.94;2023
4129.44;59063.79;2023
